Category,Rating,Rating Count,Price,Currency,Maximum Installs,Size,Content Rating,Minimum Android,Released,Last Updated,Ad Supported,In App Purchases,Editors Choice
Adventure,0.0,0,0,USD,15,10MB,Everyone,7.1,2020.0,2020,False,False,False
Tools,4.4,64,0,USD,7662,2.9MB,Everyone,5.0,2020.0,2021,True,False,False
Productivity,0.0,0,0,USD,58,3.7MB,Everyone,4.0.3,2019.0,2019,False,False,False
Communication,5.0,5,0,USD,19,1.8MB,Everyone,4.0.3,2018.0,2018,True,False,False
Tools,0.0,0,0,USD,478,6.2MB,Everyone,4.1,2020.0,2018,False,False,False
Social,0.0,0,0,USD,89,46MB,Teen,6.0,2018.0,2019,False,True,False
Libraries & Demo,4.5,12,0,USD,2567,2.5MB,Everyone,4.1,2019.0,2019,True,False,False
Lifestyle,2.0,39,0,USD,702,16MB,Everyone,5.0,2019.0,2019,False,False,False
Personalization,4.7,820,0,USD,62433,3.5MB,Everyone,4.1,2019.0,2020,True,False,False
Racing,4.9,55,0,USD,329,51MB,Everyone,4.4,2020.0,2020,False,False,False
Maps & Navigation,0.0,0,0,USD,330,2.7MB,Everyone,4.0,2018.0,2018,False,False,False
Travel & Local,3.9,118,0,USD,37763,7.6MB,Everyone,4.2,2018.0,2021,True,False,False
Maps & Navigation,0.0,0,0,USD,274,15MB,Everyone,6.0,2020.0,2021,False,False,False
Travel & Local,3.7,1572,0,USD,42856,29MB,Everyone,4.2,2018.0,2020,False,False,False
Food & Drink,4.2,16,0,USD,4313,12MB,Everyone,4.4,2020.0,2021,False,False,False
Travel & Local,3.4,5,0,USD,949,2.9MB,Everyone,4.4,2016.0,2019,False,False,False
Tools,5.0,6,0,USD,62,2.0MB,Everyone,4.1,2019.0,2019,False,False,False
Lifestyle,3.7,328,0,USD,31235,70MB,Everyone,4.1,2020.0,2021,False,False,False
Social,0.0,0,0,USD,336,24MB,Everyone,5.0,2021.0,2021,False,False,False
